window,pi.pi0,alpha,h,s
0.5,0.9659841,1,0.5,0.1
0.375,0.936236,1,0.5,0.1
0.25,0.862707,1,0.5,0.1
0.1875,0.78825,1,0.5,0.1
0.125,0.66374629,1,0.5,0.1
0.0625,0.452262282,1,0.5,0.1
0.03125,0.295029,1,0.5,0.1
0.015625,0.198690772,1,0.5,0.1
0.0078125,0.14530074,1,0.5,0.1
0.00390625,0.117187023,1,0.5,0.1
0.00195309997,0.102760315,1,0.5,0.1
0.000976549985,0.09545362,1,0.5,0.1
0.00048828125,0.0917766094,1,0.5,0.1
2.441406E-040,0.00258380175,1,0.5,0.1
chr2,0.994374,1,0.5,0.1
0.5,0.8496961,0.1,0.5,0.1
0.375,0.7855165,0.1,0.5,0.1
0.25,0.674107432,0.1,0.5,0.1
0.1875,0.587436497,0.1,0.5,0.1
0.125,0.46740365,0.1,0.5,0.1
0.0625,0.297875941,0.1,0.5,0.1
0.03125,0.187098145,0.1,0.5,0.1
0.015625,0.123421311,0.1,0.5,0.1
0.0078125,0.0892331004,0.1,0.5,0.1
0.00390625,0.0715118051,0.1,0.5,0.1
0.00195309997,0.0624904633,0.1,0.5,0.1
0.000976549985,0.0579390526,0.1,0.5,0.1
0.00048828125,0.0556291938,0.1,0.5,0.1
2.441406E-040,0.0545067787,0.1,0.5,0.1
chr2,0.982549191,0.1,0.5,0.1
0.5,0.599384665,0.02,0.5,0.1
0.375,0.572343469,0.02,0.5,0.1
0.25,0.516465783,0.02,0.5,0.1
0.1875,0.466882288,0.02,0.5,0.1
0.125,0.390210032,0.02,0.5,0.1
0.0625,0.266037107,0.02,0.5,0.1
0.03125,0.174327731,0.02,0.5,0.1
0.015625,0.117600143,0.02,0.5,0.1
0.0078125,0.08588624,0.02,0.5,0.1
0.00390625,0.0690938234,0.02,0.5,0.1
0.00195309997,0.0604515672,0.02,0.5,0.1
0.000976549985,0.0560671687,0.02,0.5,0.1
0.00048828125,0.0538360476,0.02,0.5,0.1
2.441406E-040,0.0527501106,0.02,0.5,0.1
chr2,0.628280163,0.02,0.5,0.1
0.5,0.406930506,0.01,0.5,0.1
0.375,0.402265072,0.01,0.5,0.1
0.25,0.385674775,0.01,0.5,0.1
0.1875,0.364826977,0.01,0.5,0.1
0.125,0.323851287,0.01,0.5,0.1
0.0625,0.239650369,0.01,0.5,0.1
0.03125,0.1654194,0.01,0.5,0.1
0.015625,0.114766717,0.01,0.5,0.1
0.0078125,0.0849083662,0.01,0.5,0.1
0.00390625,0.0686539412,0.01,0.5,0.1
0.00195309997,0.0601688027,0.01,0.5,0.1
0.000976549985,0.0558330417,0.01,0.5,0.1
0.00048828125,0.0536186695,0.01,0.5,0.1
2.441406E-040,0.0525388718,0.01,0.5,0.1
chr2,0.408792973,0.01,0.5,0.1
0.5,0.215507627,0.004,0.5,0.1
0.375,0.215495706,0.004,0.5,0.1
0.25,0.215221703,0.004,0.5,0.1
0.1875,0.214140475,0.004,0.5,0.1
0.125,0.208959997,0.004,0.5,0.1
0.0625,0.183747351,0.004,0.5,0.1
0.03125,0.144381285,0.004,0.5,0.1
0.015625,0.10802871,0.004,0.5,0.1
0.0078125,0.0828832388,0.004,0.5,0.1
0.00390625,0.0680055022,0.004,0.5,0.1
0.00195309997,0.059900403,0.004,0.5,0.1
0.000976549985,0.0556681156,0.004,0.5,0.1
0.00048828125,0.0534829497,0.004,0.5,0.1
2.441406E-040,0.0524114966,0.004,0.5,0.1
chr2,0.215508223,0.004,0.5,0.1
