GR,s,h,rho,rho_scaled,window,rep,pi,t
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,1,3.517894472361809e-05,2463
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,2,2.9038643216080406e-05,2399
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,3,3.429175879396985e-05,2428
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,4,2.991145728643217e-05,2698
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,5,2.625472361809046e-05,2583
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,6,3.195879396984926e-05,2580
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,7,3.144316582914573e-05,2713
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,8,3.111316582914574e-05,2446
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,9,4.00872864321608e-05,2443
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,10,3.316095477386934e-05,2492
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,11,3.284080402010049e-05,2425
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,12,3.061989949748743e-05,2559
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,13,2.739180904522616e-05,2574
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,14,3.500854271356784e-05,2554
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,15,3.2528291457286444e-05,2548
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,16,3.119527638190957e-05,2812
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,17,3.4250100502512595e-05,2480
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,18,3.265402010050254e-05,2380
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,19,3.350281407035177e-05,2941
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,20,3.006613065326636e-05,2874
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,21,3.988201005025126e-05,2746
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,22,4.059341708542711e-05,2688
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,23,3.909145728643215e-05,2534
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,24,4.074080402010048e-05,2445
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,25,3.581944723618087e-05,2579
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,26,2.774693467336685e-05,2498
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,27,3.773738693467333e-05,2607
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,28,2.3378391959798998e-05,2485
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,29,2.106140703517587e-05,2530
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,30,3.601567839195979e-05,2449
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,31,4.156914572864321e-05,2623
100,0.05,0.8,5e-08,4.9999999999999996e-06,chr2,32,3.1306884422110595e-05,2488
